Number,Source file id,Category code,Category,Funtional Category,Demographic category,Situational category,Name,Source file category,Headquarters city,Registration date,registration office,Country,Address,Latitude,Longitude,Geolocation verification
No,Source file id,Código Caterogia general MVP,Categoría agregado MVP,Categoria Funcional,Categoria Demografica,Categoria Situacional,Nombre,Categoria de la fuente original,Sede Principal,Incorporación,Extenciones,Country,Address,Latitude,Longitude,Dentro de rango (0 no 1 si)
1,PR-OGSIFLUC-2008012024-1,,,,,,"(P.A.R.E.S.) Programa de Asistencia para la Rehabilitación Educativa y Social, Inc.",Bienestar Social,Carolina,2007-05-10,Departamento de Hacienda,Puerto Rico,"(P.A.R.E.S.) Programa de Asistencia para la Rehabilitación Educativa y Social, Inc. Carolina Puerto Rico",18.3736316,-65.9630925,1
2,PR-OGSIFLUC-2008012024-2,,,,,,51st St Division - Puerto Rico United States of America Volunteer Homeland Security Service Corp.,Bienestar Social,San Juan,2008-06-26,Departamento de Hacienda,Puerto Rico,51st St Division - Puerto Rico United States of America Volunteer Homeland Security Service Corp. San Juan Puerto Rico,18.4655394,-66.1057355,1
4,PR-OGSIFLUC-2008012024-4,,,,,,"A.C.C.P. de Naranjito, Inc.",Economía y Finanzas,Naranjito,2011-09-09,Departamento de Hacienda,Puerto Rico,"A.C.C.P. de Naranjito, Inc. Naranjito Puerto Rico",18.307057,-66.2582987,1
5,PR-OGSIFLUC-2008012024-5,,,,,,"A.C.R.E.S., Inc.",Ambiente,San German,2011-04-26,Departamento de Hacienda,Puerto Rico,"A.C.R.E.S., Inc. San German Puerto Rico",18.0807082,-67.0411096,1
6,PR-OGSIFLUC-2008012024-6,,,,,,A.C.U.D.E. Inc.,Bienestar Social,San Juan,2009-01-09,Departamento de Hacienda,Puerto Rico,A.C.U.D.E. Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
7,PR-OGSIFLUC-2008012024-7,,,,,,"A.F.K. Learning Center, Inc.",Educación,Toa Baja,2010-12-29,Departamento de Hacienda,Puerto Rico,"A.F.K. Learning Center, Inc. Toa Baja Puerto Rico",18.4305854,-66.2248174,1
8,PR-OGSIFLUC-2008012024-8,,,,,,AAUW Puerto Rico Incorporated,Educación,San Juan,2013-11-14,Departamento de Hacienda,Puerto Rico,AAUW Puerto Rico Incorporated San Juan Puerto Rico,18.4655394,-66.1057355,1
9,PR-OGSIFLUC-2008012024-9,,,,,,"Abriendo Puertas al Futuro, Inc.",Bienestar Social,Bayamón,2009-07-21,Departamento de Hacienda,Puerto Rico,"Abriendo Puertas al Futuro, Inc. Bayamón Puerto Rico",18.389396,-66.1653224,1
10,PR-OGSIFLUC-2008012024-10,,,,,,ABU de Puerto Rico Inc.,Educación,San Juan,2009-02-07,Departamento de Hacienda,Puerto Rico,ABU de Puerto Rico Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
11,PR-OGSIFLUC-2008012024-11,,,,,,"Academia Bautista de Yauco, Inc.",Educación,Yauco,1980-07-16,Departamento de Hacienda,Puerto Rico,"Academia Bautista de Yauco, Inc. Yauco Puerto Rico",18.032704,-66.8405896,1
12,PR-OGSIFLUC-2008012024-12,,,,,,"Academia Bautista Sotera Sánchez, Inc.",Educación,Yauco,1990-08-08,Departamento de Hacienda,Puerto Rico,"Academia Bautista Sotera Sánchez, Inc. Yauco Puerto Rico",18.3768462,-65.898344,1
13,PR-OGSIFLUC-2008012024-13,,,,,,"Academia Bilingüe Visión Educativa, Inc.",Educación,Caguas,2009-09-10,Departamento de Hacienda,Puerto Rico,"Academia Bilingüe Visión Educativa, Inc. Caguas Puerto Rico",18.1783484,-65.8694707,1
14,PR-OGSIFLUC-2008012024-14,,,,,,"Academia Cooperativa de Integración Social, ACIS",Educación,Caguas,2008-08-12,Departamento de Hacienda,Puerto Rico,"Academia Cooperativa de Integración Social, ACIS Caguas Puerto Rico",18.2363557,-66.0474485,1
15,PR-OGSIFLUC-2008012024-15,,,,,,"Academia Cristiana Casa Corazón, Inc.",Educación,Cidra,2006-04-19,Departamento de Hacienda,Puerto Rico,"Academia Cristiana Casa Corazón, Inc. Cidra Puerto Rico",18.1731669,-66.1441544,1
16,PR-OGSIFLUC-2008012024-16,,,,,,"Academia Cristiana Casa del Alfarero, Inc.",Educación,Ponce,2004-12-17,Departamento de Hacienda,Puerto Rico,"Academia Cristiana Casa del Alfarero, Inc. Ponce Puerto Rico",18.015943,-66.6295018,1
17,PR-OGSIFLUC-2008012024-17,,,,,,"Academia Cristiana de Candelaria, Inc.",Educación,Toa Baja,1984-03-08,Departamento de Hacienda,Puerto Rico,"Academia Cristiana de Candelaria, Inc. Toa Baja Puerto Rico",18.3950641,-66.204256,1
18,PR-OGSIFLUC-2008012024-18,,,,,,"Academia Cristiana de Manatí, Inc.",Educación,Manatí,1984-11-29,Departamento de Hacienda,Puerto Rico,"Academia Cristiana de Manatí, Inc. Manatí Puerto Rico",18.4204117,-66.484765,1
19,PR-OGSIFLUC-2008012024-19,,,,,,"Academia Cristiana Logos de Yaveh, Incorporado",Educación,Caguas,1993-08-05,Departamento de Hacienda,Puerto Rico,"Academia Cristiana Logos de Yaveh, Incorporado Caguas Puerto Rico",18.2236816,-66.0158798,1
20,PR-OGSIFLUC-2008012024-20,,,,,,"Academia Cristo de los Milagros, Inc.",Educación,Caguas,1982-07-06,Departamento de Hacienda,Puerto Rico,"Academia Cristo de los Milagros, Inc. Caguas Puerto Rico",18.2295939,-66.0201539,1
21,PR-OGSIFLUC-2008012024-21,,,,,,"Academia Cristo Rey, Inc.",Educación,Ponce,1972-11-15,Departamento de Hacienda,Puerto Rico,"Academia Cristo Rey, Inc. Ponce Puerto Rico",18.0266605,-66.603923,1
22,PR-OGSIFLUC-2008012024-22,,,,,,"Academia de Artes y Ciencias de P.R., Inc.",Educación,San Juan,1959-09-03,Departamento de Hacienda,Puerto Rico,"Academia de Artes y Ciencias de P.R., Inc. San Juan Puerto Rico",18.467947,-66.12153,1
23,PR-OGSIFLUC-2008012024-23,,,,,,"Academia de Audiología de Puerto Rico, Inc.",Educación,San Juan,2002-12-19,Departamento de Hacienda,Puerto Rico,"Academia de Audiología de Puerto Rico, Inc. San Juan Puerto Rico",18.4126296,-66.0689966,1
24,PR-OGSIFLUC-2008012024-24,,,,,,"Academia de Médicos de Familia de Puerto Rico, Inc.",Educación,San Juan,1984-01-26,Departamento de Hacienda,Puerto Rico,"Academia de Médicos de Familia de Puerto Rico, Inc. San Juan Puerto Rico",18.3585946,-66.1111696,1
25,PR-OGSIFLUC-2008012024-25,,,,,,"Academia de Nutrición y Dietética Capítulo de Puerto Rico, Inc.",Educación,San Juan,1959-06-10,Departamento de Hacienda,Puerto Rico,"Academia de Nutrición y Dietética Capítulo de Puerto Rico, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
26,PR-OGSIFLUC-2008012024-26,,,,,,"Academia de Psiquiatría de Puerto  Rico, Inc.",Educación,San Juan,1995-08-16,Departamento de Hacienda,Puerto Rico,"Academia de Psiquiatría de Puerto  Rico, Inc. San Juan Puerto Rico",18.3901357,-66.0756293,1
27,PR-OGSIFLUC-2008012024-27,,,,,,"Academia Discípulos de Cristo en Vega Alta, Inc.",Educación,Vega Alta,2003-02-26,Departamento de Hacienda,Puerto Rico,"Academia Discípulos de Cristo en Vega Alta, Inc. Vega Alta Puerto Rico",18.4126754,-66.3151586,1
28,PR-OGSIFLUC-2008012024-28,,,,,,"Academia Discípulos de Cristo Manatí, Inc.",Educación,Manatí,1971-06-29,Departamento de Hacienda,Puerto Rico,"Academia Discípulos de Cristo Manatí, Inc. Manatí Puerto Rico",18.4204117,-66.484765,1
29,PR-OGSIFLUC-2008012024-29,,,,,,"Academia Discípulos de Cristo, Inc.",Educación,Vega Alta,1955-09-21,Departamento de Hacienda,Puerto Rico,"Academia Discípulos de Cristo, Inc. Vega Alta Puerto Rico",18.4126754,-66.3151586,1
30,PR-OGSIFLUC-2008012024-30,,,,,,"Academia El Principito, Inc.",Educación,Hormigueros,1993-06-02,Departamento de Hacienda,Puerto Rico,"Academia El Principito, Inc. Hormigueros Puerto Rico",18.1334638,-67.1128123,1
31,PR-OGSIFLUC-2008012024-31,,,,,,Academia La Milagrosa Inc.,Educación,Cayey,2014-06-26,Departamento de Hacienda,Puerto Rico,Academia La Milagrosa Inc. Cayey Puerto Rico,18.125526,-66.1594584,1
32,PR-OGSIFLUC-2008012024-32,,,,,,"Academia Menonita Betania, Inc.",Educación,Barranquitas,1961-02-02,Departamento de Hacienda,Puerto Rico,"Academia Menonita Betania, Inc. Barranquitas Puerto Rico",18.1330953,-66.3204888,1
33,PR-OGSIFLUC-2008012024-33,,,,,,"Academia Pentecostal Bethel, Inc.",Educación,Mayagüez,1987-04-27,Departamento de Hacienda,Puerto Rico,"Academia Pentecostal Bethel, Inc. Mayagüez Puerto Rico",18.1540438,-65.8294454,1
34,PR-OGSIFLUC-2008012024-34,,,,,,Academia Presbiteriana de Música Inc.,Educación,Bayamón,2010-03-01,Departamento de Hacienda,Puerto Rico,Academia Presbiteriana de Música Inc. Bayamón Puerto Rico,18.4083907,-65.9652773,1
35,PR-OGSIFLUC-2008012024-35,,,,,,"Academia Presbiteriana en Carolina, Inc.",Educación,Carolina,1978-02-16,Departamento de Hacienda,Puerto Rico,"Academia Presbiteriana en Carolina, Inc. Carolina Puerto Rico",18.4083907,-65.9652773,1
36,PR-OGSIFLUC-2008012024-36,,,,,,"Academia Puertorriqueña de Jurisprudencia y Legislación, Inc.",Educación,San Juan,1985-12-09,Departamento de Hacienda,Puerto Rico,"Academia Puertorriqueña de Jurisprudencia y Legislación, Inc. San Juan Puerto Rico",18.4069168,-66.0481285,1
37,PR-OGSIFLUC-2008012024-37,,,,,,Academia Puertorriqueña de la Historia Corp.,Educación,San Juan,1976-11-12,Departamento de Hacienda,Puerto Rico,Academia Puertorriqueña de la Historia Corp. San Juan Puerto Rico,18.4655394,-66.1057355,1
38,PR-OGSIFLUC-2008012024-38,,,,,,"Academia Puertorriqueña de la Lengua Española, Inc.",Educación,San Juan,1979-03-15,Departamento de Hacienda,Puerto Rico,"Academia Puertorriqueña de la Lengua Española, Inc. San Juan Puerto Rico",18.4679779,-66.1200839,1
39,PR-OGSIFLUC-2008012024-39,,,,,,Academia Sally Olsen Inc.,Educación,Guaynabo,2005-09-26,Departamento de Hacienda,Puerto Rico,Academia Sally Olsen Inc. Guaynabo Puerto Rico,18.356683,-66.1084887,1
40,PR-OGSIFLUC-2008012024-40,,,,,,"Academia San Agustin y Espiritu Santo de Sabana Grande, Inc.",Educación,Sabana Grande,2001-06-27,Departamento de Hacienda,Puerto Rico,"Academia San Agustin y Espiritu Santo de Sabana Grande, Inc. Sabana Grande Puerto Rico",18.0810786,-66.9699294,1
41,PR-OGSIFLUC-2008012024-41,,,,,,"Academia San Antonio de Guayama, Inc.",Educación,Guayama,1979-07-23,Departamento de Hacienda,Puerto Rico,"Academia San Antonio de Guayama, Inc. Guayama Puerto Rico",17.9804867,-66.1049049,1
42,PR-OGSIFLUC-2008012024-42,,,,,,"Academia San Miguel, Inc.",Educación,Toa Baja,1996-11-22,Departamento de Hacienda,Puerto Rico,"Academia San Miguel, Inc. Toa Baja Puerto Rico",18.4464944,-66.1851811,1
43,PR-OGSIFLUC-2008012024-43,,,,,,"Academia Santa María del Camino, Inc.",Educación,Toa Baja,1970-08-24,Departamento de Hacienda,Puerto Rico,"Academia Santa María del Camino, Inc. Toa Baja Puerto Rico",18.354855,-66.1724025,1
